dataset,dataset_split,evidence_tier,source_environment_id,target_environment_id,left_target_environment_id,right_target_environment_id,source_target_orientation,predictor,predictor_information_regime,regime,metric,cell_budget,cell_budget_label,universe_mode,label_universe,n,observed_D,observed_D_ci_low,observed_D_ci_high,measurement_identifiable,measurement_identifiable_ci_low,measurement_identifiable_ci_high,joint_identifiable,joint_identifiable_ci_low,joint_identifiable_ci_high,stable_fraction_both,decision_budget_fraction,decision_budget_ci_low,decision_budget_ci_high,retention,retention_ci_low,retention_ci_high,regret,regret_ci_low,regret_ci_high,normalized_regret,normalized_regret_ci_low,normalized_regret_ci_high,boundary_inversion,boundary_inversion_ci_low,boundary_inversion_ci_high,measurement_floor_regret,joint_floor_regret,excess_regret,joint_excess_regret,predictability_model,predictability_dataset_split,predictability_spearman,predictability_auroc,predictability_mae,calibration_brier,modern_claim_lock_status,modern_claim_lock_blocker,checksums,provenance,status
FrangiehIzar2021_RNA,,1,frangieh_melanoma_coculture,,frangieh_melanoma_coculture,frangieh_melanoma_ifng,,source_frozen_ensemble,strict_source_only_frozen_prediction,canonical_fullsize_claim_lock,absolute_effect_rank_agreement,full,full,matched_fixed,canonical shared labels,,0.2786213705928628,0.2469762390045054,0.3116315347207323,0.0573937280984052,0.028408603304012,0.0849983015089751,-0.0512422539869842,-0.0888348798541085,-0.0144789655295716,0.7601730672960023,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,,1,frangieh_melanoma_coculture,,frangieh_melanoma_control,frangieh_melanoma_coculture,,source_frozen_ensemble,strict_source_only_frozen_prediction,canonical_fullsize_claim_lock,absolute_effect_rank_agreement,full,full,matched_fixed,canonical shared labels,,0.2847871134587873,0.2570127654891603,0.3129021312497707,0.058339569348153,0.0332269542569971,0.0834823557463042,-0.0450684815303914,-0.0835800227431128,-0.0106865118667693,0.7559150434686915,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,,1,frangieh_melanoma_coculture,,frangieh_melanoma_control,frangieh_melanoma_ifng,,source_frozen_ensemble,strict_source_only_frozen_prediction,canonical_fullsize_claim_lock,absolute_effect_rank_agreement,full,full,matched_fixed,canonical shared labels,,0.2801482542280414,0.25102336788507,0.3087847790507365,0.0526672394980905,0.0236570285506455,0.0816584833606109,-0.0554537415893798,-0.0976475268230587,-0.0142825968357883,0.7606110201854883,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,,1,frangieh_melanoma_coculture,,frangieh_melanoma_coculture,frangieh_melanoma_ifng,,source_frozen_ensemble,strict_source_only_frozen_prediction,canonical_fullsize_claim_lock,delta_cosine,full,full,matched_fixed,canonical shared labels,,0.3153157137238074,0.2810193627976828,0.3511362011013372,0.1139888972323535,0.0816343953371951,0.1500263713080168,0.0363818118429521,-0.0025039333476363,0.0760854698562539,0.7755846384895945,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,,1,frangieh_melanoma_coculture,,frangieh_melanoma_control,frangieh_melanoma_coculture,,source_frozen_ensemble,strict_source_only_frozen_prediction,canonical_fullsize_claim_lock,delta_cosine,full,full,matched_fixed,canonical shared labels,,0.3591701423278676,0.322767414988445,0.3998573970140494,0.127843989582187,0.0934796962693958,0.1645225780418913,0.0496368071604123,0.0072330893951065,0.0901661256006749,0.7362165731264444,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,,1,frangieh_melanoma_coculture,,frangieh_melanoma_control,frangieh_melanoma_ifng,,source_frozen_ensemble,strict_source_only_frozen_prediction,canonical_fullsize_claim_lock,delta_cosine,full,full,matched_fixed,canonical shared labels,,0.3039456810329151,0.2636611202036734,0.3404887252227677,0.0876888888888888,0.0571894889979996,0.1209369885433714,0.0012751773049645,-0.0432464993635206,0.0436099745408255,0.7655937443171486,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,,1,frangieh_melanoma_coculture,,frangieh_melanoma_coculture,frangieh_melanoma_ifng,,source_frozen_ensemble,strict_source_only_frozen_prediction,canonical_fullsize_claim_lock,systema_centroid_accuracy,full,full,matched_fixed,canonical shared labels,,0.0969033871486805,0.0826872362869198,0.1140239487234499,0.0255232201601945,0.0153212829864836,0.0364288332260602,0.0219503548952299,0.0117014857326753,0.0330778892226274,0.9291997425445184,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,,1,frangieh_melanoma_coculture,,frangieh_melanoma_control,frangieh_melanoma_coculture,,source_frozen_ensemble,strict_source_only_frozen_prediction,canonical_fullsize_claim_lock,systema_centroid_accuracy,full,full,matched_fixed,canonical shared labels,,0.1269926543413668,0.1045263838450533,0.1521865026961593,0.0474177946517002,0.0278048310773632,0.0705772440482741,0.0445353802134918,0.0254383551593852,0.0677251843292615,0.9231502879571548,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,,1,frangieh_melanoma_coculture,,frangieh_melanoma_control,frangieh_melanoma_ifng,,source_frozen_ensemble,strict_source_only_frozen_prediction,canonical_fullsize_claim_lock,systema_centroid_accuracy,full,full,matched_fixed,canonical shared labels,,0.1174283824331696,0.0965784688125113,0.1409549463538825,0.0386191080196399,0.0207671849427168,0.0598517912347699,0.0362533551554828,0.0184576741225677,0.0574947717766866,0.922349518094199,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,,1,frangieh_melanoma_control,,frangieh_melanoma_coculture,frangieh_melanoma_ifng,,source_frozen_ensemble,strict_source_only_frozen_prediction,canonical_fullsize_claim_lock,absolute_effect_rank_agreement,full,full,matched_fixed,canonical shared labels,,0.3225559071729958,0.2876881749266967,0.3568654795108346,0.0730548880783808,0.0415647572051777,0.1055647929628834,0.0064366015876421,-0.0387005649717513,0.0481350121576199,0.7194092827004219,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
